Accession,Organism,Host,Geo_loc_name
LC700118.1,Blastocystis sp.,Felis catus,Iran: Tehran
LC700117.1,Blastocystis sp.,Homo sapiens,Iran: Tehran
LC700116.1,Blastocystis sp.,Homo sapiens,Iran: Tehran
LC700115.1,Blastocystis sp.,Felis catus,Iran: Tehran
LC700114.1,Blastocystis sp.,Homo sapiens,Iran: Tehran
LC700113.1,Blastocystis sp.,Homo sapiens,Iran: Tehran
LC700112.1,Blastocystis sp.,Homo sapiens,Iran: Tehran
LC700111.1,Blastocystis sp.,Homo sapiens,Iran: Tehran
LC700110.1,Blastocystis sp.,Homo sapiens,Iran: Tehran
LC700109.1,Blastocystis sp.,Homo sapiens,Iran: Tehran
LC700108.1,Blastocystis sp.,Felis catus,Iran: Tehran
LC700107.1,Blastocystis sp.,Felis catus,Iran: Tehran
LC700106.1,Blastocystis sp.,Homo sapiens,Iran: Tehran
LC700105.1,Blastocystis sp.,Homo sapiens,Iran: Tehran
LC700104.1,Blastocystis sp.,Felis catus,Iran: Tehran
OM289651.1,Blastocystis sp.,N/A,Kenya
OM289650.1,Blastocystis sp.,N/A,Kenya
KP233740.1,Blastocystis sp. subtype 5,pig,Philippines
KP233739.1,Blastocystis pythoni,duck,Philippines
KP233738.1,Blastocystis sp. subtype 14,goat,Philippines
KP233737.1,Blastocystis sp. subtype 7,duck,Philippines
KP233736.1,Blastocystis sp. subtype 7,chicken,Philippines
KP233735.1,Blastocystis sp. subtype 7,duck,Philippines
KP233734.1,Blastocystis sp. subtype 7,pig,Philippines
KP233733.1,Blastocystis sp. subtype 7,chicken,Philippines
KP233732.1,Blastocystis sp. subtype 7,chicken,Philippines
KP233731.1,Blastocystis sp. subtype 1,pig,Philippines
KP233730.1,Blastocystis sp. subtype 7,chicken,Philippines
KP233729.1,Blastocystis sp. subtype 7,pig,Philippines
KP233728.1,Blastocystis sp. subtype 5,pig,Philippines
KP233727.1,Blastocystis sp. subtype 5,pig,Philippines
KP233726.1,Blastocystis sp. subtype 5,pig,Philippines
KP233725.1,Blastocystis sp. subtype 5,pig,Philippines
KP233724.1,Blastocystis sp. subtype 5,pig,Philippines
KP233723.1,Blastocystis sp. subtype 5,pig,Philippines
KP233722.1,Blastocystis sp. subtype 1,pig,Philippines
KP233721.1,Blastocystis sp. subtype 1,pig,Philippines
KP233720.1,Blastocystis sp. subtype 1,pig,Philippines
KP233719.1,Blastocystis sp. subtype 1,pig,Philippines
KP233718.1,Blastocystis sp. subtype 1,pig,Philippines
KP233717.1,Blastocystis sp. subtype 1,pig,Philippines
KP233716.1,Blastocystis sp. subtype 1,pig,Philippines
KP233715.1,Blastocystis sp. subtype 1,pig,Philippines
KP233714.1,Blastocystis sp. subtype 1,pig,Philippines
MG000954.1,Blastocystis sp.,pigs,China
MK861946.1,Blastocystis sp.,peafowl,China
MK861945.1,Blastocystis sp.,peafowl,China
MK861944.1,Blastocystis sp.,peafowl,China
MK861943.1,Blastocystis sp.,peafowl,China
MK861942.1,Blastocystis sp.,peafowl,China
MK861941.1,Blastocystis sp.,peafowl,China
MK861940.1,Blastocystis sp.,peafowl,China
MK861939.1,Blastocystis sp.,peafowl,China
MK861938.1,Blastocystis sp.,peafowl,China
MK861937.1,Blastocystis sp.,peafowl,China
MK861936.1,Blastocystis sp.,peafowl,China
MK861935.1,Blastocystis sp.,peafowl,China
MK861934.1,Blastocystis sp. subtype 7,peafowl,China
MK861933.1,Blastocystis sp. subtype 7,peafowl,China
MK861932.1,Blastocystis sp. subtype 7,peafowl,China
MK357784.1,Blastocystis sp.,red monkey,China
MH623066.1,Blastocystis sp. subtype 6,N/A,Australia
MH623048.1,Blastocystis sp. subtype 8,N/A,Australia
MH623046.1,Blastocystis sp. subtype 4,N/A,Australia
MH623045.1,Blastocystis sp. subtype 2,N/A,Australia
MH623044.1,Blastocystis sp. subtype 3,N/A,Australia
MH623043.1,Blastocystis sp. subtype 1,N/A,Australia
MH125197.1,Blastocystis sp. subtype 14,N/A,Turkey
MH125196.1,Blastocystis sp. subtype 14,N/A,Turkey
MH125195.1,Blastocystis sp. subtype 14,N/A,Turkey
MH125194.1,Blastocystis sp. subtype 10,N/A,Turkey
MH817028.1,Blastocystis hominis,N/A,N/A
MH817027.1,Blastocystis hominis,N/A,N/A
MH817026.1,Blastocystis hominis,N/A,N/A
MH817025.1,Blastocystis hominis,N/A,N/A
MH817024.1,Blastocystis hominis,N/A,N/A
MH285979.1,Blastocystis sp. subtype 4,N/A,N/A
MH294510.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH294509.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH294508.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH294507.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH294506.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH294505.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH294504.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH294503.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH294502.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH294501.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH294500.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH294499.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH294498.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH294497.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH294496.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH294495.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH294494.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH294493.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH294492.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH294491.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH294490.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH294489.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH294488.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH294487.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH294486.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH221018.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH221017.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH221016.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH221015.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH221014.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH221013.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH221012.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH221011.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH221010.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH221009.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH221008.1,Blastocystis sp. subtype 3,Homo sapiens,Iran
MH221007.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH221006.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH221005.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH221004.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH221003.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH221002.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH221001.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH221000.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH220999.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH220998.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH220997.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH220996.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH220995.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH220994.1,Blastocystis sp. subtype 2,Homo sapiens,Iran
MH220993.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220992.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220991.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220990.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220989.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220988.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220987.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220986.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220985.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220984.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220983.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220982.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220981.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220980.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220979.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220978.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220977.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220976.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH220975.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH177915.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH177914.1,Blastocystis sp. subtype 1,Homo sapiens,Iran
MH049545.1,Blastocystis hominis,N/A,N/A
MH049544.1,Blastocystis sp. subtype 3,N/A,N/A
MH049543.1,Blastocystis sp. subtype 3,N/A,N/A
MH049542.1,Blastocystis sp. subtype 1,N/A,N/A
MH049541.1,Blastocystis sp. subtype 3,N/A,N/A
MH049540.1,Blastocystis sp. subtype 3,N/A,N/A
MH049539.1,Blastocystis sp. subtype 3,N/A,N/A
MH049538.1,Blastocystis sp. subtype 3,N/A,N/A
MH049537.1,Blastocystis sp. subtype 3,N/A,N/A
MH049536.1,Blastocystis sp. subtype 3,N/A,N/A
MH049535.1,Blastocystis sp. subtype 7,N/A,N/A
MH049534.1,Blastocystis sp. subtype 1,N/A,N/A
MG254572.1,Blastocystis sp. subtype 1,N/A,N/A
MG254571.1,Blastocystis sp. subtype 1,N/A,N/A
MG254570.1,Blastocystis sp. subtype 3,N/A,N/A
MG254569.1,Blastocystis sp. subtype 1,N/A,N/A
